Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Afghanistan,AFG,85.3
Access to electricity (% of population),EG.ELC.ACCS.ZS,Albania,ALB,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Algeria,DZA,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,American Samoa,ASM,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Andorra,AND,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Angola,AGO,48.5
Access to electricity (% of population),EG.ELC.ACCS.ZS,Antigua and Barbuda,ATG,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Argentina,ARG,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Armenia,ARM,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Aruba,ABW,99.9
Access to electricity (% of population),EG.ELC.ACCS.ZS,Australia,AUS,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Austria,AUT,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Azerbaijan,AZE,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Bahamas, The",BHS,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bahrain,BHR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bangladesh,BGD,99.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,Barbados,BRB,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belarus,BLR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belgium,BEL,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belize,BLZ,98.6
Access to electricity (% of population),EG.ELC.ACCS.ZS,Benin,BEN,56.5
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bermuda,BMU,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bhutan,BTN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bolivia,BOL,99.9
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bosnia and Herzegovina,BIH,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Botswana,BWA,75.9
Access to electricity (% of population),EG.ELC.ACCS.ZS,Brazil,BRA,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,British Virgin Islands,VGB,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Brunei Darussalam,BRN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bulgaria,BGR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burkina Faso,BFA,19.5
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burundi,BDI,10.3
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cabo Verde,CPV,97.1
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cambodia,KHM,92.3
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cameroon,CMR,71
Access to electricity (% of population),EG.ELC.ACCS.ZS,Canada,CAN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cayman Islands,CYM,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Central African Republic,CAF,15.7
Access to electricity (% of population),EG.ELC.ACCS.ZS,Chad,TCD,11.7
Access to electricity (% of population),EG.ELC.ACCS.ZS,Channel Islands,CHI,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Chile,CHL,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,China,CHN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Colombia,COL,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Comoros,COM,89.9
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Congo, Dem. Rep.",COD,21.5
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Congo, Rep.",COG,50.6
Access to electricity (% of population),EG.ELC.ACCS.ZS,Costa Rica,CRI,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cote d'Ivoire,CIV,70.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,Croatia,HRV,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cuba,CUB,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Curacao,CUW,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cyprus,CYP,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Czechia,CZE,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Denmark,DNK,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Djibouti,DJI,65
Access to electricity (% of population),EG.ELC.ACCS.ZS,Dominica,DMA,100
