Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Afghanistan,AFG,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Albania,ALB,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Algeria,DZA,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,American Samoa,ASM,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Andorra,AND,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Angola,AGO,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Antigua and Barbuda,ATG,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Argentina,ARG,8.36736107358926
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Armenia,ARM,1.29484672225421
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Aruba,ABW,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Australia,AUS,99.3088529440474
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Austria,AUT,26.0820003958763
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Azerbaijan,AZE,1.86274218553481
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,"Bahamas, The",BHS,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Bahrain,BHR,64.8287304514686
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Bangladesh,BGD,9.3222942548639
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Barbados,BRB,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Belarus,BLR,3.38407849706567
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Belgium,BEL,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Belize,BLZ,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Benin,BEN,..
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Bermuda,BMU,2.64436035861103
