Country Name,FDI_2023
Aruba,-137459364.9
Africa Eastern and Southern,21404116603
Afghanistan,
Africa Western and Central,19225613605
Angola,-2119632186
Albania,1620982551
Andorra,
Arab World,85245219618
United Arab Emirates,30687540000
Argentina,23866141440
Armenia,580365078.7
American Samoa,
Antigua and Barbuda,327939063.7
Australia,32619020577
Austria,2924935669
Azerbaijan,252836000
Burundi,34127983.54
Belgium,-2776119887
Benin,433851310
Burkina Faso,109438755.4
Bangladesh,1484418066
Bulgaria,4058310000
Bahrain,6839627660
"Bahamas, The",322456455.1
Bosnia and Herzegovina,1035178227
Belarus,1992107728
Belize,16037530.53
Bermuda,156440000
Bolivia,240143401.7
Brazil,62441880090
Barbados,224900000
Brunei Darussalam,-50992640.19
Bhutan,11916048.29
Botswana,665417580.1
Central African Republic,38742450
Canada,42076242120
Central Europe and the Baltics,-1592979097
Switzerland,-88899521142
Channel Islands,
Chile,21737835925
China,42727679407
Cote d'Ivoire,1752557290
Cameroon,821546383.2
"Congo, Dem. Rep.",2375258887
"Congo, Rep.",626473710
Colombia,16794082729
Comoros,5352754.894
Cabo Verde,158735894.9
Costa Rica,4687479758
Caribbean small states,199128070.9
Cuba,
Curacao,136602563.6
Cayman Islands,28134155040
Cyprus,-3562882563
Czechia,8225354599
Germany,19515498092
Djibouti,137009451
Dominica,47612624.44
Denmark,4576876843
Dominican Republic,4750500000
Algeria,1216010864
East Asia & Pacific (excluding high income),1.16056E+11
Early-demographic dividend,2.28557E+11
East Asia & Pacific,4.93134E+11
Europe & Central Asia (excluding high income),40063902541
Europe & Central Asia,-5.01806E+11
Ecuador,409452348.5
"Egypt, Arab Rep.",9840600000
Euro area,-3.47314E+11
Eritrea,2070380
Spain,42953066298
Estonia,5350805152
Ethiopia,3262966284
European Union,-3.41647E+11
Fragile and conflict affected situations,18970363108
Finland,-341091562.4
Fiji,91017170
France,8803377982
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,1150733280
United Kingdom,-89474261725
Georgia,2085707951
Ghana,1319315615
Gibraltar,
Guinea,1307980000
"Gambia, The",208372222.2
Guinea-Bissau,23799690
Equatorial Guinea,141780890
Greece,4722066764
Grenada,220002714.4
Greenland,
Guatemala,1583156540
Guam,
Guyana,-1135036126
High income,4.26084E+11
"Hong Kong SAR, China",1.21986E+11
Honduras,1086111945
Heavily indebted poor countries (HIPC),32186116768
Croatia,3341914871
Haiti,23647920
Hungary,-72234232901
IBRD only,3.29929E+11
IDA & IBRD total,4.51356E+11
IDA total,52104248081
IDA blend,9549850751
Indonesia,21543358781
IDA only,42555378713
Isle of Man,
India,28078983530
Not classified,
Ireland,-1.39972E+11
"Iran, Islamic Rep.",1422333330
Iraq,-5363500000
Iceland,1632083782
Israel,15110600000
Italy,42019753074
Jamaica,376524958.4
Jordan,842816901.4
Japan,20440829347
Kazakhstan,5437312391
Kenya,728766608.6
Kyrgyz Republic,490400000
Cambodia,3958792379
Kiribati,5110622.698
St. Kitts and Nevis,30905807.78
"Korea, Rep.",15178400000
Kuwait,2114603345
Latin America & Caribbean (excluding high income),1.53263E+11
Lao PDR,1781176779
Lebanon,655437382.1
Liberia,744581110
Libya,
St. Lucia,123398721.9
Latin America & Caribbean,2.38852E+11
